id,title,release_date,overview,genres,keywords,cast,directors,writers,spoken_languages,streaming_platforms,rating,vote_count,popularity,runtime,poster_url
1160265,Riptide,2023-08-04,"As college life comes to a close, roommates and lovers Suku and Charlie prepare to part ways. They spend their final days together drinking on the beach, discussing literature, making love and taking long drives down deserted roads. A health emergency forces Suku to leave town early, and when he returns following a near-death experience, he finds Charlie leading a spectral existence, intimate to him but invisible to everyone else.","['Drama', 'Mystery', 'Fantasy', 'Romance']",[],"['Swalah Rahman', 'Farry Hind', 'Shafeeq Kodinji', 'Nishanth Krishna', 'Jean Guillaume Le Bouffo']",['Afrad Vk'],['Afrad Vk'],"['English', 'Malayalam']",[],0.0,0,0.0521,85,https://image.tmdb.org/t/p/w500/7GBZ6FsCBirFNsZF33dfmyY3YLb.jpg
892615,Bridge,2017-12-27,Here the protagonist uses the concept of lucid dreaming and accidentally solves his dilemma.,"['Thriller', 'Mystery']",['lucid dreaming'],"['Harishanker', 'Jinu K George', 'Avinash']",['Sreedev Suprakash'],"['Joeal Johnson', 'Sreedev Suprakash']","['English', 'Malayalam']",[],0.0,0,0.055,12,https://image.tmdb.org/t/p/w500/hYBEdjEWAJQTVjoxpriqoRnkULy.jpg
456704,Noolpalam,2016-03-06,,['Drama'],[],"['T G Ravi', 'Abin', 'Santhakumari', 'Kulappulli Leela', 'M R Gopakumar']",['Sinto Sunny'],[],['Malayalam'],[],0.0,0,0.0468,96,https://image.tmdb.org/t/p/w500/as7scw665ay3l8dayM3TewQIrn7.jpg
496011,Karutha Sooryan,2017-12-08,"Karutha Sooryan is a Malayalam movie starring Manjusha and Muhammad Shah in prominent roles. The movie also stars Megha, Navnindra Behl, Neena Kurup and Suresh Gopi. It is a drama directed by EVM Ali.",['Drama'],[],"['Abi', 'Shivaji Guruvayoor', 'Neena Kurup', 'Kochu Preman']",['E V M Ali'],['E V M Ali'],['Malayalam'],[],0.0,0,0.0654,110,https://image.tmdb.org/t/p/w500/6GQZyu1YN15INc14f5lGg2CGN1h.jpg
495572,Passu,2017-11-17,"Rambhadran, an ardent lover of animals and nature, along with his cows moves to a new place where he is helped by a local to settle down. Soon, rumors spread that a leopard is spotted in the nearby forest. Fearing for the life of the cows, Rambhadran decides to sell the cows but he is threatened by the 'Cow protection committee'. Unable to cope with the situation, Rambhadran leaves the cows in the forest and returns, however, a few days later Rambhadran is mysteriously found dead.",['Drama'],[],"['Nandhu', 'Kalasala Babu']",['M D  Sukumaran'],['Abraham Mathew'],['Malayalam'],[],0.0,0,0.0534,132,https://image.tmdb.org/t/p/w500/oTYt99rPeEuqjCtislRLUxDCJ57.jpg
1646390,It Was Here Before Our Time,2026-02-28,"It Was Here Before Our Time immerses viewers in the enigmatic world of Maari Theyyam, an ancient ritual performed along the southern coast of Kerala, India. The documentary captures Maari Theyyam's raw energy and mysticism through intimate observational footage, revealing how the ritual serves as a communal act of healing and resilience.",['Documentary'],[],"['Jithin Prasanth', 'Adarsh Balan', 'Sreerag', 'Ranjith K', 'Gokul Das']",['Ramith Kunhimangalam'],[],['Malayalam'],[],0.0,0,0.0595,30,https://image.tmdb.org/t/p/w500/2pqn9dPJuNo3vl6H5rp5qgsm75b.jpg
1377391,Cupid Saw the Star,2024-12-15,"Devan is a hypersexual young man whom his friends call ""Kamadeva."" He considers himself a macho man and asserts his machismo in every possible situation. A total womanizer who thinks of women as means of quenching his sexual thirst. One day he brings a young lady to his house who in turn makes hid night ""unforgettable"".",['Drama'],[],"['Athul Singh', 'Gayathri Babu', 'Vaishak', 'Adhithya Baby', 'Ameesha Yashica']",['Adhithya Baby'],[],['Malayalam'],[],0.0,0,0.0496,86,https://image.tmdb.org/t/p/w500/jr4imQo3apFrBV3qKUlQ8kRk7uf.jpg
911977,The Obituary Column,2018-03-15,A man who searches for his own death in the obituary column of the newspapers.,"['Horror', 'Mystery']",['short compilation'],"['Deepu John', 'Deepu John', 'Deepu John']",['Ashin Jose'],['Ashin Jose'],['Malayalam'],[],10.0,2,0.07,6,https://image.tmdb.org/t/p/w500/mewpaufFwuVqRHYqCYXmMA8h2hq.jpg
1575849,Nerariyum Nerathu,2025-05-23,"In a quiet village surrounded by mist covered hills and ancient legends, Abhiram Radhakrishnan plays Arjun, a young documentary filmmaker who arrives searching for truth behind a mysterious ritual performed only at midnight.",['Drama'],[],"['Rajesh Azhikkodan', 'Swathi Das Prabhu', 'Abhiram Radhakrishnan']",['Ranjith GV'],['Ranjith GV'],['Malayalam'],[],0.0,0,0.0504,92,https://image.tmdb.org/t/p/w500/jwbyJErqvPSgZrB6BL0XcrTB2MX.jpg
516338,Tritiya,2017-01-01,"After discovering their roommate’s suicide, Sandeep is drawn into an introspective journey steeped in Indian mythology and the strict gender binaries of their childhood. A gut-wrenching but ultimately uplifting portrayal of growing up third gender in southern India.",[],[],[],['Vishnu Prasad'],[],['Malayalam'],[],1.7,3,0.0507,17,https://image.tmdb.org/t/p/w500/i2bmEBvP0rI3IDZ39AzlwEfGl02.jpg
